,parameter_name,experiment_id,metabolite_id,mic_id,enzyme_id,phos_enz_id,drain_id,value
0,km,,,g6p_c,G6PDH2r,,,0.184704
1,km,,,nadp_c,G6PDH2r,,,0.00838272
2,km,,,6pgl_c,PGL,,,0.0173742
0,drain,Evo04Evo01EP,,,,,EDD_drain,-0.00119171
1,drain,Evo04pgiEvo01EP,,,,,EDD_drain,0.439425
2,drain,Evo04ptsHIcrrEvo01EP,,,,,EDD_drain,0.10135
3,drain,Evo04sdhCBEvo01EP,,,,,EDD_drain,0.0608604
4,drain,Evo04tpiAEvo01EP,,,,,EDD_drain,0.239369
5,drain,Evo04Evo01EP,,,,,GND_drain,0.187419
6,drain,Evo04pgiEvo01EP,,,,,GND_drain,2.02328
7,drain,Evo04ptsHIcrrEvo01EP,,,,,GND_drain,1.11676
8,drain,Evo04sdhCBEvo01EP,,,,,GND_drain,0.753771
9,drain,Evo04tpiAEvo01EP,,,,,GND_drain,0.699857
0,diss_t,,,6pgc_c,G6PDH2r,,,0.0174603
0,transfer_constant,,,,G6PDH2r,,,51.075
0,kcat,,,,G6PDH2r,,,202.755
1,kcat,,,,PGL,,,521.467
0,conc_unbalanced,Evo04Evo01EP,,g6p_c,,,,1.83047
1,conc_unbalanced,Evo04pgiEvo01EP,,g6p_c,,,,31.1087
2,conc_unbalanced,Evo04ptsHIcrrEvo01EP,,g6p_c,,,,5.44567
3,conc_unbalanced,Evo04sdhCBEvo01EP,,g6p_c,,,,2.10103
4,conc_unbalanced,Evo04tpiAEvo01EP,,g6p_c,,,,1.84002
5,conc_unbalanced,Evo04Evo01EP,,nadp_c,,,,0.590212
6,conc_unbalanced,Evo04pgiEvo01EP,,nadp_c,,,,1.18248
7,conc_unbalanced,Evo04ptsHIcrrEvo01EP,,nadp_c,,,,2.18418
8,conc_unbalanced,Evo04sdhCBEvo01EP,,nadp_c,,,,1.02264
9,conc_unbalanced,Evo04tpiAEvo01EP,,nadp_c,,,,0.880343
10,conc_unbalanced,Evo04Evo01EP,,nadph_c,,,,0.0326253
11,conc_unbalanced,Evo04pgiEvo01EP,,nadph_c,,,,0.039696
12,conc_unbalanced,Evo04ptsHIcrrEvo01EP,,nadph_c,,,,0.015133
13,conc_unbalanced,Evo04sdhCBEvo01EP,,nadph_c,,,,0.0165636
14,conc_unbalanced,Evo04tpiAEvo01EP,,nadph_c,,,,0.0361152
0,conc_enzyme,Evo04Evo01EP,,,G6PDH2r,,,0.009383
1,conc_enzyme,Evo04pgiEvo01EP,,,G6PDH2r,,,0.0222096
2,conc_enzyme,Evo04ptsHIcrrEvo01EP,,,G6PDH2r,,,0.0155106
3,conc_enzyme,Evo04sdhCBEvo01EP,,,G6PDH2r,,,0.0102577
4,conc_enzyme,Evo04tpiAEvo01EP,,,G6PDH2r,,,0.0124465
5,conc_enzyme,Evo04Evo01EP,,,PGL,,,0.00460731
6,conc_enzyme,Evo04pgiEvo01EP,,,PGL,,,0.00977975
7,conc_enzyme,Evo04ptsHIcrrEvo01EP,,,PGL,,,0.00980632
8,conc_enzyme,Evo04sdhCBEvo01EP,,,PGL,,,0.00737784
9,conc_enzyme,Evo04tpiAEvo01EP,,,PGL,,,0.0109855
0,dgf,,6pgc,,,,,-1550.85
1,dgf,,6pgl,,,,,-1377.01
2,dgf,,g6p,,,,,-1304.67
3,dgf,,nadp,,,,,-2031.67
4,dgf,,nadph,,,,,-1956.18
